domain,site,sitemap,reason,new_urls_count,blacklisted_on
concorde-immobilier.fr,https://www.concorde-immobilier.fr,https://www.concorde-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
conseilsimmobilier.ch,https://conseilsimmobilier.ch,https://conseilsimmobilier.ch/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-06-24
cordouan-immobilier.fr,https://www.cordouan-immobilier.fr,https://www.cordouan-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
couvreur-66.fr,http://couvreur-66.fr,https://couvreur-66.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-alencon.fr,http://couvreur-alencon.fr,https://couvreur-alencon.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-asnieres.fr,http://couvreur-asnieres.fr,https://couvreur-asnieres.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-auvergne-rhone-alpes.fr,http://couvreur-auvergne-rhone-alpes.fr,https://couvreur-auvergne-rhone-alpes.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-auvergnerhoalpes.fr,http://couvreur-auvergnerhoalpes.fr,https://couvreur-auvergnerhoalpes.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-bacacier.fr,http://couvreur-bacacier.fr,https://couvreur-bacacier.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-batiment-ancien.fr,http://couvreur-batiment-ancien.fr,https://couvreur-batiment-ancien.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-batiment.fr,http://couvreur-batiment.fr,https://couvreur-batiment.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-bourgogne-franche-comte.fr,http://couvreur-bourgogne-franche-comte.fr,https://couvreur-bourgogne-franche-comte.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-brive.fr,http://couvreur-brive.fr,https://couvreur-brive.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-centre-val-de-loire.fr,http://couvreur-centre-val-de-loire.fr,https://couvreur-centre-val-de-loire.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-cherbourg.fr,http://couvreur-cherbourg.fr,https://couvreur-cherbourg.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-demoussage-toit.fr,http://couvreur-demoussage-toit.fr,https://couvreur-demoussage-toit.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
